claim_id,claim_category,candidate_claim,evidence_status,evidence_tier,phase,source_path,source_field,building_scope,split,model,metric,value,unit,derivation,source_hash,conflict_status,presentation_safe,caveat
CLM-0017,Multi-building generalization,Selected building: Robin_office_Addie,EXACT_RECOVERED,A,7,outputs/phase7/selected_buildings.json,selected_buildings[4],Robin_office_Addie,,,,,,,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885,NONE,YES,"deterministic morphology coverage: low lag168_autocorrelation, low lag24_autocorrelation, low log_mean_load"
CLM-0018,Multi-building generalization,Selected building: Lamb_office_Gerardo,EXACT_RECOVERED,A,7,outputs/phase7/selected_buildings.json,selected_buildings[5],Lamb_office_Gerardo,,,,,,,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885,NONE,YES,"deterministic morphology coverage: high daily_profile_variability_normalized, high peak_to_average_ratio, high normalized_peak_valley_range"
CLM-0019,Multi-building generalization,Selected building: Hog_office_Alexis,EXACT_RECOVERED,A,7,outputs/phase7/selected_buildings.json,selected_buildings[6],Hog_office_Alexis,,,,,,,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885,NONE,YES,"deterministic morphology coverage: high weekday_weekend_difference_normalized, high daily_profile_variability_normalized, high peak_to_average_ratio"
CLM-0020,Multi-building generalization,Selected building: Hog_office_Byron,EXACT_RECOVERED,A,7,outputs/phase7/selected_buildings.json,selected_buildings[7],Hog_office_Byron,,,,,,,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885,NONE,YES,"deterministic morphology coverage: high log_mean_load, low daily_profile_variability_normalized, low coefficient_of_variation"
CLM-0021,Forecast task,Forecast horizon,EXACT_RECOVERED,A,4.5,outputs/phase4_5/final_config.json,forecast_horizon_hours,,,,Forecast horizon,24,hours,,414bce43e889b78940ebf0f17588d66eff624b4348e144ce424816801786fffa,NONE,YES,
CLM-0022,Forecast task,Train feature-window samples,EXACT_RECOVERED,A,4.5,outputs/phase4_5/final_config.json,feature_time_boundaries.train.samples,,train,,Train feature-window samples,15573,samples,,414bce43e889b78940ebf0f17588d66eff624b4348e144ce424816801786fffa,NONE,YES,Feature timestamps 2016-01-15 00:00:00 through 2017-10-31 23:00:00; target timestamp is feature timestamp + 24h.
CLM-0023,Forecast task,Validation feature-window samples,EXACT_RECOVERED,A,4.5,outputs/phase4_5/final_config.json,feature_time_boundaries.validation.samples,,validation,,Validation feature-window samples,720,samples,,414bce43e889b78940ebf0f17588d66eff624b4348e144ce424816801786fffa,NONE,YES,Feature timestamps 2017-11-01 00:00:00 through 2017-11-30 23:00:00; target timestamp is feature timestamp + 24h.
CLM-0024,Forecast task,Test feature-window samples,EXACT_RECOVERED,A,4.5,outputs/phase4_5/final_config.json,feature_time_boundaries.test.samples,,test,,Test feature-window samples,720,samples,,414bce43e889b78940ebf0f17588d66eff624b4348e144ce424816801786fffa,NONE,YES,Feature timestamps 2017-12-01 00:00:00 through 2017-12-30 23:00:00; target timestamp is feature timestamp + 24h.
CLM-0025,Forecast task,Frozen LightGBM feature count,DETERMINISTIC_DERIVED,A,4.5,outputs/phase4_5/final_config.json,count(feature_list),,,LightGBM,Frozen LightGBM feature count,31,features,"{""formula"": ""count(feature_list)"", ""operands"": [{""path"": ""outputs/phase4_5/final_config.json"", ""field"": ""feature_list""}]}",414bce43e889b78940ebf0f17588d66eff624b4348e144ce424816801786fffa,NONE,YES,
CLM-0026,Forecast task,Target timestamp equals feature timestamp plus 24 hours,EXACT_RECOVERED,A,4.5,outputs/phase4_5/final_config.json,target + forecast_horizon_hours,,,,,,,,414bce43e889b78940ebf0f17588d66eff624b4348e144ce424816801786fffa,NONE,YES,
CLM-0027,Baselines,Day baseline uses actual(t-24h); Week uses actual(t-168h); DayWeek is their 0.5/0.5 average,EXACT_RECOVERED,A,9,outputs/phase9/final_algorithm.json,model_components[0].formula,,,Day / Week / DayWeek,,,,,9ada55af2ce3b217df78c3f0697a551d6d3d87ace892356163d5a13dd6025125,NONE,YES,
CLM-0028,Forecast task,"Frozen feature set includes causal current-load, calendar, lag, and shifted rolling features",EXACT_RECOVERED,A,9,outputs/phase9/run_config.json,feature_list,,,LightGBM,,,,,13efb8319264541d8347281ce2f44282dc2eb27f4414851de640344263e3d508,NONE,YES,
CLM-0029,Robustness,Phase 5.7 Test No Battery original_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=No Battery).original_peak,Hog_office_Rolando,test,No Battery,Phase 5.7 Test No Battery original_peak,483.0,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0030,Robustness,Phase 5.7 Test No Battery post_dispatch_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=No Battery).post_dispatch_peak,Hog_office_Rolando,test,No Battery,Phase 5.7 Test No Battery post_dispatch_peak,483.0,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0031,Robustness,Phase 5.7 Test No Battery absolute_peak_reduction,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=No Battery).absolute_peak_reduction,Hog_office_Rolando,test,No Battery,Phase 5.7 Test No Battery absolute_peak_reduction,0.0,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0032,Robustness,Phase 5.7 Test No Battery peak_reduction_percentage,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=No Battery).peak_reduction_percentage,Hog_office_Rolando,test,No Battery,Phase 5.7 Test No Battery peak_reduction_percentage,0.0,%,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0033,Robustness,Phase 5.7 Test No Battery mean_daily_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=No Battery).mean_daily_peak,Hog_office_Rolando,test,No Battery,Phase 5.7 Test No Battery mean_daily_peak,442.7333333333,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0034,Robustness,Phase 5.7 Test No Battery mean_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=No Battery).mean_regret,Hog_office_Rolando,test,No Battery,Phase 5.7 Test No Battery mean_regret,22.5615494562,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0035,Robustness,Phase 5.7 Test No Battery p90_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=No Battery).p90_regret,Hog_office_Rolando,test,No Battery,Phase 5.7 Test No Battery p90_regret,39.8353982301,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0036,Robustness,Phase 5.7 Test No Battery max_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=No Battery).max_regret,Hog_office_Rolando,test,No Battery,Phase 5.7 Test No Battery max_regret,42.3849557522,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0037,Robustness,Phase 5.7 Test No Battery battery_throughput,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=No Battery).battery_throughput,Hog_office_Rolando,test,No Battery,Phase 5.7 Test No Battery battery_throughput,0.0,kWh,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0038,Robustness,Phase 5.7 Test Persistence deterministic original_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Persistence deterministic).original_peak,Hog_office_Rolando,test,Persistence deterministic,Phase 5.7 Test Persistence deterministic original_peak,483.0,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0039,Robustness,Phase 5.7 Test Persistence deterministic post_dispatch_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Persistence deterministic).post_dispatch_peak,Hog_office_Rolando,test,Persistence deterministic,Phase 5.7 Test Persistence deterministic post_dispatch_peak,466.8421052632,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0040,Robustness,Phase 5.7 Test Persistence deterministic absolute_peak_reduction,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Persistence deterministic).absolute_peak_reduction,Hog_office_Rolando,test,Persistence deterministic,Phase 5.7 Test Persistence deterministic absolute_peak_reduction,16.1578947368,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0041,Robustness,Phase 5.7 Test Persistence deterministic peak_reduction_percentage,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Persistence deterministic).peak_reduction_percentage,Hog_office_Rolando,test,Persistence deterministic,Phase 5.7 Test Persistence deterministic peak_reduction_percentage,3.3453198213,%,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0042,Robustness,Phase 5.7 Test Persistence deterministic mean_daily_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Persistence deterministic).mean_daily_peak,Hog_office_Rolando,test,Persistence deterministic,Phase 5.7 Test Persistence deterministic mean_daily_peak,434.6031783647,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0043,Robustness,Phase 5.7 Test Persistence deterministic mean_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Persistence deterministic).mean_regret,Hog_office_Rolando,test,Persistence deterministic,Phase 5.7 Test Persistence deterministic mean_regret,14.4313944875,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0044,Robustness,Phase 5.7 Test Persistence deterministic p90_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Persistence deterministic).p90_regret,Hog_office_Rolando,test,Persistence deterministic,Phase 5.7 Test Persistence deterministic p90_regret,27.0610241566,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0045,Robustness,Phase 5.7 Test Persistence deterministic max_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Persistence deterministic).max_regret,Hog_office_Rolando,test,Persistence deterministic,Phase 5.7 Test Persistence deterministic max_regret,34.127753304,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0046,Robustness,Phase 5.7 Test Persistence deterministic battery_throughput,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Persistence deterministic).battery_throughput,Hog_office_Rolando,test,Persistence deterministic,Phase 5.7 Test Persistence deterministic battery_throughput,10075.4800288113,kWh,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0047,Robustness,Phase 5.7 Test LightGBM deterministic original_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM deterministic).original_peak,Hog_office_Rolando,test,LightGBM deterministic,Phase 5.7 Test LightGBM deterministic original_peak,483.0,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0048,Robustness,Phase 5.7 Test LightGBM deterministic post_dispatch_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM deterministic).post_dispatch_peak,Hog_office_Rolando,test,LightGBM deterministic,Phase 5.7 Test LightGBM deterministic post_dispatch_peak,453.8018392081,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0049,Robustness,Phase 5.7 Test LightGBM deterministic absolute_peak_reduction,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM deterministic).absolute_peak_reduction,Hog_office_Rolando,test,LightGBM deterministic,Phase 5.7 Test LightGBM deterministic absolute_peak_reduction,29.1981607919,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0050,Robustness,Phase 5.7 Test LightGBM deterministic peak_reduction_percentage,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM deterministic).peak_reduction_percentage,Hog_office_Rolando,test,LightGBM deterministic,Phase 5.7 Test LightGBM deterministic peak_reduction_percentage,6.0451678658,%,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0051,Robustness,Phase 5.7 Test LightGBM deterministic mean_daily_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM deterministic).mean_daily_peak,Hog_office_Rolando,test,LightGBM deterministic,Phase 5.7 Test LightGBM deterministic mean_daily_peak,431.2991558057,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0052,Robustness,Phase 5.7 Test LightGBM deterministic mean_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM deterministic).mean_regret,Hog_office_Rolando,test,LightGBM deterministic,Phase 5.7 Test LightGBM deterministic mean_regret,11.1273719285,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0053,Robustness,Phase 5.7 Test LightGBM deterministic p90_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM deterministic).p90_regret,Hog_office_Rolando,test,LightGBM deterministic,Phase 5.7 Test LightGBM deterministic p90_regret,17.0718240546,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0054,Robustness,Phase 5.7 Test LightGBM deterministic max_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM deterministic).max_regret,Hog_office_Rolando,test,LightGBM deterministic,Phase 5.7 Test LightGBM deterministic max_regret,28.5901189617,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0055,Robustness,Phase 5.7 Test LightGBM deterministic battery_throughput,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM deterministic).battery_throughput,Hog_office_Rolando,test,LightGBM deterministic,Phase 5.7 Test LightGBM deterministic battery_throughput,8762.3809831365,kWh,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0056,Robustness,Phase 5.7 Test LightGBM robust original_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM robust).original_peak,Hog_office_Rolando,test,LightGBM robust,Phase 5.7 Test LightGBM robust original_peak,483.0,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,NEGATIVE_RESULT_BUT_SCIENTIFICALLY_USEFUL
CLM-0057,Robustness,Phase 5.7 Test LightGBM robust post_dispatch_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM robust).post_dispatch_peak,Hog_office_Rolando,test,LightGBM robust,Phase 5.7 Test LightGBM robust post_dispatch_peak,465.9343938489,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,NEGATIVE_RESULT_BUT_SCIENTIFICALLY_USEFUL
CLM-0058,Robustness,Phase 5.7 Test LightGBM robust absolute_peak_reduction,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM robust).absolute_peak_reduction,Hog_office_Rolando,test,LightGBM robust,Phase 5.7 Test LightGBM robust absolute_peak_reduction,17.0656061511,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,NEGATIVE_RESULT_BUT_SCIENTIFICALLY_USEFUL
CLM-0059,Robustness,Phase 5.7 Test LightGBM robust peak_reduction_percentage,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM robust).peak_reduction_percentage,Hog_office_Rolando,test,LightGBM robust,Phase 5.7 Test LightGBM robust peak_reduction_percentage,3.5332517911,%,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,NEGATIVE_RESULT_BUT_SCIENTIFICALLY_USEFUL
CLM-0060,Robustness,Phase 5.7 Test LightGBM robust mean_daily_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM robust).mean_daily_peak,Hog_office_Rolando,test,LightGBM robust,Phase 5.7 Test LightGBM robust mean_daily_peak,440.6353025476,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,NEGATIVE_RESULT_BUT_SCIENTIFICALLY_USEFUL
CLM-0061,Robustness,Phase 5.7 Test LightGBM robust mean_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM robust).mean_regret,Hog_office_Rolando,test,LightGBM robust,Phase 5.7 Test LightGBM robust mean_regret,20.4635186705,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,NEGATIVE_RESULT_BUT_SCIENTIFICALLY_USEFUL
CLM-0062,Robustness,Phase 5.7 Test LightGBM robust p90_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM robust).p90_regret,Hog_office_Rolando,test,LightGBM robust,Phase 5.7 Test LightGBM robust p90_regret,25.6433779127,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,NEGATIVE_RESULT_BUT_SCIENTIFICALLY_USEFUL
CLM-0063,Robustness,Phase 5.7 Test LightGBM robust max_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM robust).max_regret,Hog_office_Rolando,test,LightGBM robust,Phase 5.7 Test LightGBM robust max_regret,41.9091008673,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,NEGATIVE_RESULT_BUT_SCIENTIFICALLY_USEFUL
CLM-0064,Robustness,Phase 5.7 Test LightGBM robust battery_throughput,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM robust).battery_throughput,Hog_office_Rolando,test,LightGBM robust,Phase 5.7 Test LightGBM robust battery_throughput,16728.7357988852,kWh,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,NEGATIVE_RESULT_BUT_SCIENTIFICALLY_USEFUL
CLM-0065,Robustness,Phase 5.7 Test Oracle original_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Oracle).original_peak,Hog_office_Rolando,test,Oracle,Phase 5.7 Test Oracle original_peak,483.0,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0066,Robustness,Phase 5.7 Test Oracle post_dispatch_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Oracle).post_dispatch_peak,Hog_office_Rolando,test,Oracle,Phase 5.7 Test Oracle post_dispatch_peak,441.449339207,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0067,Robustness,Phase 5.7 Test Oracle absolute_peak_reduction,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Oracle).absolute_peak_reduction,Hog_office_Rolando,test,Oracle,Phase 5.7 Test Oracle absolute_peak_reduction,41.550660793,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0068,Robustness,Phase 5.7 Test Oracle peak_reduction_percentage,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Oracle).peak_reduction_percentage,Hog_office_Rolando,test,Oracle,Phase 5.7 Test Oracle peak_reduction_percentage,8.6026212822,%,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0069,Robustness,Phase 5.7 Test Oracle mean_daily_peak,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Oracle).mean_daily_peak,Hog_office_Rolando,test,Oracle,Phase 5.7 Test Oracle mean_daily_peak,420.1717838771,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0070,Robustness,Phase 5.7 Test Oracle mean_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Oracle).mean_regret,Hog_office_Rolando,test,Oracle,Phase 5.7 Test Oracle mean_regret,0.0,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
CLM-0071,Robustness,Phase 5.7 Test Oracle p90_regret,EXACT_RECOVERED,A,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=Oracle).p90_regret,Hog_office_Rolando,test,Oracle,Phase 5.7 Test Oracle p90_regret,0.0,kW,,e860208d60f07d8e145db2698ff68dc35f4635958e7e1137f27f4280c2787ca0,NONE,YES,
