traceability_key,slide_id,claim_id,evidence_id,metric_id,source_phase,source_file,source_location,figure_asset,exact_number_used,wording_strength,verification_status
M12-F01,SB-M12,CORE-01,CLM-0021,,13.0B,outputs/phase13_0b/final_presentation_claims.json,CORE-01 through CORE-07,,,"synthesis of approved claims only",VERIFIED
A01-F01,SB-A01,SUP-01,CLM-0002,MET-020,3,outputs/phase3/building_selection.csv,count(data rows),outputs/phase7/figures/01_morphology_map.png,"1,578 building series","project selection universe only",VERIFIED
A01-F02,SB-A01,CORE-04,CLM-0003,MET-021,7,outputs/phase7/selected_buildings.json,office_candidates,outputs/phase7/figures/01_morphology_map.png,296 buildings,"frozen eligibility scope",VERIFIED
A01-F03,SB-A01,CORE-04,CLM-0004,MET-022,7,outputs/phase7/selected_buildings.json,quality_pass_count,outputs/phase7/figures/01_morphology_map.png,82 buildings,"frozen eligibility scope",VERIFIED
A01-F04,SB-A01,CORE-04,CLM-0008,MET-001,7,outputs/phase7/selected_buildings.json,count(selected_buildings),outputs/phase7/figures/01_morphology_map.png,8 buildings,"fixed selected scope",VERIFIED
A02-F01,SB-A02,SUP-02,CLM-0021,MET-002,4.5,outputs/phase4_5/final_config.json,forecast_horizon_hours,outputs/phase13_1/architecture/doef_architecture_master.png,24 hours,"approved causal and split protocol",VERIFIED
A03-F01,SB-A03,CORE-05,CLM-2532,,9,outputs/phase9/final_algorithm.json,components_and_formula,,,"approved component definition",VERIFIED
A04-F01,SB-A04,BACK-02,CLM-0021,,13.0A,outputs/phase13_0a/conflict_register.csv,unit semantics: one-hour interval,,,"approved unit semantics",VERIFIED
A05-F01,SB-A05,CORE-06,CLM-2546,,9,outputs/phase9/final_benchmark.csv,canonical full benchmark,,,"canonical source pointer; no new value",VERIFIED
A06-F01,SB-A06,SUP-07,CLM-2496,MET-034,9,outputs/phase9/final_benchmark.csv,row[5].peak_reduction_mean_pct,outputs/phase9/figures/04_peak_quality_vs_decision.png,-24.48241606779646%,"approved aggregation caveat",VERIFIED
A06-F02,SB-A06,SUP-07,CLM-2497,MET-035,9,outputs/phase9/final_benchmark.csv,row[5].peak_reduction_median_pct,outputs/phase9/figures/04_peak_quality_vs_decision.png,4.820860917002948%,"approved aggregation caveat",VERIFIED
A07-F01,SB-A07,SUP-06,CLM-2548,,13.1,outputs/phase13_1/manifests/visual_asset_manifest.json,assets[SCI-05-storage-dispatch-frozen],outputs/phase13_1/figures/sci_05_storage_dispatch_frozen.png,,"representative backup illustration only",VERIFIED
A08-F01,SB-A08,CORE-03,CLM-2526,MET-023,8,outputs/phase8/run_config.json,count(candidate_weights),outputs/phase13_1/figures/sci_04_validation_weight_selection.png,11 weights,"approved selection protocol",VERIFIED
A08-F02,SB-A08,CORE-03,CLM-2531,MET-007,8,outputs/phase8/selected_weights.csv,row(building=Hog_office_Joey).w_forecast,outputs/phase13_1/figures/sci_04_validation_weight_selection.png,0.6,"illustrative frozen building weight",VERIFIED
A08-F03,SB-A08,CORE-03,CLM-2532,MET-008,8,outputs/phase8/selected_weights.csv,row(building=Hog_office_Joey).w_decision,outputs/phase13_1/figures/sci_04_validation_weight_selection.png,0.3,"illustrative frozen building weight",VERIFIED
A09-F01,SB-A09,SUP-04,CLM-2555,MET-024,9.1,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.resamples,,10000 resamples,"fixed eight-building uncertainty",VERIFIED
A09-F02,SB-A09,SUP-04,CLM-2556,MET-025,9.1,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.point_estimate,,-0.0041976002058672825,"fixed eight-building uncertainty",VERIFIED
A09-F03,SB-A09,SUP-04,CLM-2557,MET-026,9.1,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.ci95_lower,,-0.0068502135531734835,"fixed eight-building uncertainty",VERIFIED
A09-F04,SB-A09,SUP-04,CLM-2558,MET-027,9.1,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.ci95_upper,,-0.0017190447979306138,"fixed eight-building uncertainty",VERIFIED
A10-F01,SB-A10,SUP-05,CLM-2560,MET-029,9.1,outputs/phase9_1/doef_prediction_invariance.json,samples,,5760 predictions,"identity audit only",VERIFIED
A10-F02,SB-A10,SUP-05,CLM-2561,MET-030,9.1,outputs/phase9_1/doef_prediction_invariance.json,max_absolute_delta,,0.0 kW,"identity audit only",VERIFIED
A11-F01,SB-A11,BACK-01,CLM-0082,MET-031,5.7,outputs/phase5_7/selected_robust_config.json,lambda,outputs/phase5_7/deterministic_vs_robust_daily_peaks.png,0.5,"single-building negative experiment",VERIFIED
A11-F02,SB-A11,BACK-01,CLM-0061,MET-032,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM robust).mean_regret,outputs/phase5_7/deterministic_vs_robust_daily_peaks.png,20.4635186705 kW,"single-building negative experiment",VERIFIED
A11-F03,SB-A11,BACK-01,CLM-0052,MET-033,5.7,outputs/phase5_7/test_overall_metrics.csv,row(method=LightGBM deterministic).mean_regret,outputs/phase5_7/deterministic_vs_robust_daily_peaks.png,11.1273719285 kW,"single-building negative experiment",VERIFIED
