metric_id,metric_name,value,unit,scope,building,split,method,aggregation,source_phase,source_file,source_field,canonical_status,used_in_ppt,ppt_slide,notes
P9_WEEK_PEAK_REDUCTION_MEDIAN_PCT,Median whole-window peak reduction,4.7720764135384375,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Week,peak_reduction_median,9,outputs/phase9/final_benchmark.csv,row(display_name=Week).peak_reduction_median_pct,CANONICAL,NO,,Direct canonical value; no Phase 13.4 recomputation.
P9_WEEK_PEAK_REDUCTION_MIN_PCT,Minimum building whole-window peak reduction,-10.509524002763452,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Week,peak_reduction_min,9,outputs/phase9/final_benchmark.csv,row(display_name=Week).peak_reduction_min_pct,CANONICAL,NO,,Direct canonical value; no Phase 13.4 recomputation.
P9_DAYWEEK_NORMALIZED_MAE_MEAN,Mean normalized MAE,0.1834775145794906,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,DayWeek,normalized_mae_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=DayWeek).normalized_mae_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_DAYWEEK_NORMALIZED_RMSE_MEAN,Mean normalized RMSE,0.2966208944834146,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,DayWeek,normalized_rmse_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=DayWeek).normalized_rmse_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_DAYWEEK_NORMALIZED_DECISION_REGRET_MEAN,Mean normalized decision regret,0.1430186694957667,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,DayWeek,normalized_decision_regret_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=DayWeek).normalized_decision_regret_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_DAYWEEK_PEAK_REDUCTION_MEAN_PCT,Mean whole-window peak reduction,4.906897876871062,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,DayWeek,peak_reduction_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=DayWeek).peak_reduction_mean_pct,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_DAYWEEK_PEAK_REDUCTION_MEDIAN_PCT,Median whole-window peak reduction,5.573690485501219,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,DayWeek,peak_reduction_median,9,outputs/phase9/final_benchmark.csv,row(display_name=DayWeek).peak_reduction_median_pct,CANONICAL,NO,,Direct canonical value; no Phase 13.4 recomputation.
P9_DAYWEEK_PEAK_REDUCTION_MIN_PCT,Minimum building whole-window peak reduction,-0.1310143376537229,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,DayWeek,peak_reduction_min,9,outputs/phase9/final_benchmark.csv,row(display_name=DayWeek).peak_reduction_min_pct,CANONICAL,NO,,Direct canonical value; no Phase 13.4 recomputation.
P9_LIGHTGBM_NORMALIZED_MAE_MEAN,Mean normalized MAE,0.1473380276776882,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,LightGBM,normalized_mae_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=LightGBM).normalized_mae_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_LIGHTGBM_NORMALIZED_RMSE_MEAN,Mean normalized RMSE,0.2169419587841403,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,LightGBM,normalized_rmse_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=LightGBM).normalized_rmse_mean,CANONICAL,YES,2;17,Direct canonical value; no Phase 13.4 recomputation.
P9_LIGHTGBM_NORMALIZED_DECISION_REGRET_MEAN,Mean normalized decision regret,0.116126784093835,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,LightGBM,normalized_decision_regret_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=LightGBM).normalized_decision_regret_mean,CANONICAL,YES,2;17;18,Direct canonical value; no Phase 13.4 recomputation.
P9_LIGHTGBM_PEAK_REDUCTION_MEAN_PCT,Mean whole-window peak reduction,1.0084324543018925,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,LightGBM,peak_reduction_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=LightGBM).peak_reduction_mean_pct,CANONICAL,YES,17;18,Direct canonical value; no Phase 13.4 recomputation.
P9_LIGHTGBM_PEAK_REDUCTION_MEDIAN_PCT,Median whole-window peak reduction,5.057121486433106,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,LightGBM,peak_reduction_median,9,outputs/phase9/final_benchmark.csv,row(display_name=LightGBM).peak_reduction_median_pct,CANONICAL,YES,18,Direct canonical value; no Phase 13.4 recomputation.
P9_LIGHTGBM_PEAK_REDUCTION_MIN_PCT,Minimum building whole-window peak reduction,-41.192111813709005,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,LightGBM,peak_reduction_min,9,outputs/phase9/final_benchmark.csv,row(display_name=LightGBM).peak_reduction_min_pct,CANONICAL,YES,18,Direct canonical value; no Phase 13.4 recomputation.
P9_XGBOOST_NORMALIZED_MAE_MEAN,Mean normalized MAE,0.1497806938494076,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,XGBoost,normalized_mae_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=XGBoost).normalized_mae_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_XGBOOST_NORMALIZED_RMSE_MEAN,Mean normalized RMSE,0.2167511842160507,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,XGBoost,normalized_rmse_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=XGBoost).normalized_rmse_mean,CANONICAL,YES,2;17,Direct canonical value; no Phase 13.4 recomputation.
P9_XGBOOST_NORMALIZED_DECISION_REGRET_MEAN,Mean normalized decision regret,0.1175341513618143,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,XGBoost,normalized_decision_regret_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=XGBoost).normalized_decision_regret_mean,CANONICAL,YES,2;17;18,Direct canonical value; no Phase 13.4 recomputation.
P9_XGBOOST_PEAK_REDUCTION_MEAN_PCT,Mean whole-window peak reduction,0.4528337144682357,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,XGBoost,peak_reduction_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=XGBoost).peak_reduction_mean_pct,CANONICAL,YES,17;18,Direct canonical value; no Phase 13.4 recomputation.
P9_XGBOOST_PEAK_REDUCTION_MEDIAN_PCT,Median whole-window peak reduction,4.588389692040035,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,XGBoost,peak_reduction_median,9,outputs/phase9/final_benchmark.csv,row(display_name=XGBoost).peak_reduction_median_pct,CANONICAL,YES,18,Direct canonical value; no Phase 13.4 recomputation.
P9_XGBOOST_PEAK_REDUCTION_MIN_PCT,Minimum building whole-window peak reduction,-44.35689885669765,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,XGBoost,peak_reduction_min,9,outputs/phase9/final_benchmark.csv,row(display_name=XGBoost).peak_reduction_min_pct,CANONICAL,YES,18,Direct canonical value; no Phase 13.4 recomputation.
P9_CATBOOST_NORMALIZED_MAE_MEAN,Mean normalized MAE,0.1736043750545097,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,CatBoost,normalized_mae_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=CatBoost).normalized_mae_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_CATBOOST_NORMALIZED_RMSE_MEAN,Mean normalized RMSE,0.239210962621775,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,CatBoost,normalized_rmse_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=CatBoost).normalized_rmse_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_CATBOOST_NORMALIZED_DECISION_REGRET_MEAN,Mean normalized decision regret,0.1187404081252623,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,CatBoost,normalized_decision_regret_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=CatBoost).normalized_decision_regret_mean,CANONICAL,YES,17;18,Direct canonical value; no Phase 13.4 recomputation.
P9_CATBOOST_PEAK_REDUCTION_MEAN_PCT,Mean whole-window peak reduction,-24.48241606779646,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,CatBoost,peak_reduction_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=CatBoost).peak_reduction_mean_pct,CANONICAL,YES,17;18,Direct canonical value; no Phase 13.4 recomputation.
P9_CATBOOST_PEAK_REDUCTION_MEDIAN_PCT,Median whole-window peak reduction,4.820860917002948,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,CatBoost,peak_reduction_median,9,outputs/phase9/final_benchmark.csv,row(display_name=CatBoost).peak_reduction_median_pct,CANONICAL,YES,18,Direct canonical value; no Phase 13.4 recomputation.
P9_CATBOOST_PEAK_REDUCTION_MIN_PCT,Minimum building whole-window peak reduction,-245.94331246534048,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,CatBoost,peak_reduction_min,9,outputs/phase9/final_benchmark.csv,row(display_name=CatBoost).peak_reduction_min_pct,CANONICAL,YES,18,Direct canonical value; no Phase 13.4 recomputation.
P9_DOEF_NORMALIZED_MAE_MEAN,Mean normalized MAE,0.1379695350007493,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,DOEF,normalized_mae_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=DOEF).normalized_mae_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_DOEF_NORMALIZED_RMSE_MEAN,Mean normalized RMSE,0.2078222913306698,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,DOEF,normalized_rmse_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=DOEF).normalized_rmse_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_DOEF_NORMALIZED_DECISION_REGRET_MEAN,Mean normalized decision regret,0.1119291838879677,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,DOEF,normalized_decision_regret_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=DOEF).normalized_decision_regret_mean,CANONICAL,YES,17;18,Direct canonical value; no Phase 13.4 recomputation.
P9_DOEF_PEAK_REDUCTION_MEAN_PCT,Mean whole-window peak reduction,6.442331666592077,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,DOEF,peak_reduction_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=DOEF).peak_reduction_mean_pct,CANONICAL,YES,17;18,Direct canonical value; no Phase 13.4 recomputation.
P9_DOEF_PEAK_REDUCTION_MEDIAN_PCT,Median whole-window peak reduction,5.629144355214001,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,DOEF,peak_reduction_median,9,outputs/phase9/final_benchmark.csv,row(display_name=DOEF).peak_reduction_median_pct,CANONICAL,YES,18,Direct canonical value; no Phase 13.4 recomputation.
P9_DOEF_PEAK_REDUCTION_MIN_PCT,Minimum building whole-window peak reduction,-1.0170484967146218,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,DOEF,peak_reduction_min,9,outputs/phase9/final_benchmark.csv,row(display_name=DOEF).peak_reduction_min_pct,CANONICAL,YES,18,Direct canonical value; no Phase 13.4 recomputation.
P9_PEAK_AWARE_LIGHTGBM_NORMALIZED_MAE_MEAN,Mean normalized MAE,0.147586770563029,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Peak-aware LightGBM,normalized_mae_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=Peak-aware LightGBM).normalized_mae_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_PEAK_AWARE_LIGHTGBM_NORMALIZED_RMSE_MEAN,Mean normalized RMSE,0.2172835091296721,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Peak-aware LightGBM,normalized_rmse_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=Peak-aware LightGBM).normalized_rmse_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_PEAK_AWARE_LIGHTGBM_NORMALIZED_DECISION_REGRET_MEAN,Mean normalized decision regret,0.1162024576163798,dimensionless,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Peak-aware LightGBM,normalized_decision_regret_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=Peak-aware LightGBM).normalized_decision_regret_mean,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_PEAK_AWARE_LIGHTGBM_PEAK_REDUCTION_MEAN_PCT,Mean whole-window peak reduction,1.1288134828307546,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Peak-aware LightGBM,peak_reduction_mean,9,outputs/phase9/final_benchmark.csv,row(display_name=Peak-aware LightGBM).peak_reduction_mean_pct,CANONICAL,YES,17,Direct canonical value; no Phase 13.4 recomputation.
P9_PEAK_AWARE_LIGHTGBM_PEAK_REDUCTION_MEDIAN_PCT,Median whole-window peak reduction,5.057121486433106,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Peak-aware LightGBM,peak_reduction_median,9,outputs/phase9/final_benchmark.csv,row(display_name=Peak-aware LightGBM).peak_reduction_median_pct,CANONICAL,NO,,Direct canonical value; no Phase 13.4 recomputation.
P9_PEAK_AWARE_LIGHTGBM_PEAK_REDUCTION_MIN_PCT,Minimum building whole-window peak reduction,-41.192111813709005,%,equal-building aggregate over 8 fixed office buildings,ALL_8_FIXED,Test,Peak-aware LightGBM,peak_reduction_min,9,outputs/phase9/final_benchmark.csv,row(display_name=Peak-aware LightGBM).peak_reduction_min_pct,CANONICAL,NO,,Direct canonical value; no Phase 13.4 recomputation.
COUNT_PROJECT_SERIES,Frozen project-universe building series,1578,building series,repository Phase 3 selection table,ALL,N/A,N/A,row count,3,outputs/phase3/building_selection.csv,count(data rows),CANONICAL,YES,13,
COUNT_OFFICE_CANDIDATES,Office-building candidates,296,buildings,office candidates,ALL,Train coverage screening,N/A,count,7,outputs/phase7/selected_buildings.json,office_candidates,CANONICAL,YES,8;13,
COUNT_QUALITY_PASS,Office candidates passing frozen quality rules,82,buildings,office candidates,ALL,Train/Validation/Test coverage screen,N/A,count,7,outputs/phase7/selected_buildings.json,quality_pass_count,CANONICAL,YES,8;13,
COUNT_FIXED_BUILDINGS,Final benchmark building count,8,buildings,fixed multi-building benchmark,ALL_8_FIXED,N/A,DOEF benchmark,count,7,outputs/phase7/selected_buildings.json,count(selected_buildings),CANONICAL,YES,1;6;8;12;13,
FORECAST_HORIZON_HOURS,Forecast horizon,24,hours,all fixed buildings,ALL_8_FIXED,all,all forecast methods,fixed horizon,7,outputs/phase7/summary.json,leakage_audit.canonical_lineage.forecast_horizon_hours,CANONICAL,YES,1;14,
TEST_SAMPLES_PER_BUILDING,Test forecast samples per building,720,hourly targets,each fixed building,ALL_8_FIXED,Test,all forecast methods,per building,7,outputs/phase7/summary.json,leakage_audit.canonical_lineage.rows,CANONICAL,YES,22,
TEST_DAYS_PER_BUILDING,Complete Test days per building,30,days,each fixed building,ALL_8_FIXED,Test,all dispatch methods,per building,7,outputs/phase7/summary.json,leakage_audit.canonical_lineage.days,CANONICAL,YES,12;22,
DOEF_MAE_IMPROVEMENT_PCT,DOEF relative normalized-MAE improvement versus LightGBM,6.358502841800696,%,8 fixed buildings,ALL_8_FIXED,Test,DOEF vs LightGBM,relative aggregate improvement,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.normalized_mae_relative_improvement_pct,CANONICAL,YES,6,
DOEF_REGRET_IMPROVEMENT_PCT,DOEF relative normalized-regret improvement versus LightGBM,3.6146701543680733,%,8 fixed buildings,ALL_8_FIXED,Test,DOEF vs LightGBM,relative aggregate improvement,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.normalized_regret_relative_improvement_pct,CANONICAL,YES,6,
DOEF_REGRET_WINS,DOEF decision-regret building wins,6,buildings,8 fixed buildings,ALL_8_FIXED,Test,DOEF vs LightGBM,per-building comparison,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss.wins,CANONICAL,YES,6;8,
DOEF_REGRET_TIES,DOEF decision-regret building ties,2,buildings,8 fixed buildings,ALL_8_FIXED,Test,DOEF vs LightGBM,per-building comparison,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss.ties,CANONICAL,YES,6;8,
DOEF_REGRET_LOSSES,DOEF decision-regret building losses,0,buildings,8 fixed buildings,ALL_8_FIXED,Test,DOEF vs LightGBM,per-building comparison,9.1,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss.losses,CANONICAL,YES,6;8,
WEIGHT_HOG_OFFICE_ROLANDO_W_FORECAST,forecast-MAE-selected LightGBM weight,0.9,ensemble LightGBM weight,per-building Validation grid,Hog_office_Rolando,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Hog_office_Rolando).w_forecast,CANONICAL,YES,20,
WEIGHT_HOG_OFFICE_ROLANDO_W_DECISION,decision-regret-selected LightGBM weight,0.7,ensemble LightGBM weight,per-building Validation grid,Hog_office_Rolando,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Hog_office_Rolando).w_decision,CANONICAL,YES,20,
WEIGHT_HOG_OFFICE_LAVON_W_FORECAST,forecast-MAE-selected LightGBM weight,0.0,ensemble LightGBM weight,per-building Validation grid,Hog_office_Lavon,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Hog_office_Lavon).w_forecast,CANONICAL,YES,20,
WEIGHT_HOG_OFFICE_LAVON_W_DECISION,decision-regret-selected LightGBM weight,0.0,ensemble LightGBM weight,per-building Validation grid,Hog_office_Lavon,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Hog_office_Lavon).w_decision,CANONICAL,YES,20,
WEIGHT_HOG_OFFICE_JOEY_W_FORECAST,forecast-MAE-selected LightGBM weight,0.6,ensemble LightGBM weight,per-building Validation grid,Hog_office_Joey,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Hog_office_Joey).w_forecast,CANONICAL,YES,20;9,
WEIGHT_HOG_OFFICE_JOEY_W_DECISION,decision-regret-selected LightGBM weight,0.3,ensemble LightGBM weight,per-building Validation grid,Hog_office_Joey,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Hog_office_Joey).w_decision,CANONICAL,YES,20;9,
WEIGHT_LAMB_OFFICE_CAITLIN_W_FORECAST,forecast-MAE-selected LightGBM weight,0.4,ensemble LightGBM weight,per-building Validation grid,Lamb_office_Caitlin,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Lamb_office_Caitlin).w_forecast,CANONICAL,YES,20,
WEIGHT_LAMB_OFFICE_CAITLIN_W_DECISION,decision-regret-selected LightGBM weight,0.8,ensemble LightGBM weight,per-building Validation grid,Lamb_office_Caitlin,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Lamb_office_Caitlin).w_decision,CANONICAL,YES,20,
WEIGHT_ROBIN_OFFICE_ADDIE_W_FORECAST,forecast-MAE-selected LightGBM weight,1.0,ensemble LightGBM weight,per-building Validation grid,Robin_office_Addie,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Robin_office_Addie).w_forecast,CANONICAL,YES,20,
WEIGHT_ROBIN_OFFICE_ADDIE_W_DECISION,decision-regret-selected LightGBM weight,1.0,ensemble LightGBM weight,per-building Validation grid,Robin_office_Addie,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Robin_office_Addie).w_decision,CANONICAL,YES,20,
WEIGHT_LAMB_OFFICE_GERARDO_W_FORECAST,forecast-MAE-selected LightGBM weight,0.0,ensemble LightGBM weight,per-building Validation grid,Lamb_office_Gerardo,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Lamb_office_Gerardo).w_forecast,CANONICAL,YES,20,
WEIGHT_LAMB_OFFICE_GERARDO_W_DECISION,decision-regret-selected LightGBM weight,1.0,ensemble LightGBM weight,per-building Validation grid,Lamb_office_Gerardo,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Lamb_office_Gerardo).w_decision,CANONICAL,YES,20,
WEIGHT_HOG_OFFICE_ALEXIS_W_FORECAST,forecast-MAE-selected LightGBM weight,0.6,ensemble LightGBM weight,per-building Validation grid,Hog_office_Alexis,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Hog_office_Alexis).w_forecast,CANONICAL,YES,20,
WEIGHT_HOG_OFFICE_ALEXIS_W_DECISION,decision-regret-selected LightGBM weight,0.7,ensemble LightGBM weight,per-building Validation grid,Hog_office_Alexis,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Hog_office_Alexis).w_decision,CANONICAL,YES,20,
WEIGHT_HOG_OFFICE_BYRON_W_FORECAST,forecast-MAE-selected LightGBM weight,0.9,ensemble LightGBM weight,per-building Validation grid,Hog_office_Byron,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Hog_office_Byron).w_forecast,CANONICAL,YES,20,
WEIGHT_HOG_OFFICE_BYRON_W_DECISION,decision-regret-selected LightGBM weight,0.8,ensemble LightGBM weight,per-building Validation grid,Hog_office_Byron,Validation,DayWeek-LightGBM ensemble,per-building selection,8,outputs/phase8/selected_weights.csv,row(building=Hog_office_Byron).w_decision,CANONICAL,YES,20,
WEIGHT_CANDIDATE_COUNT,Predeclared candidate weight count,11,weights,per-building Validation search,ALL_8_FIXED,Validation,DOEF,fixed grid,8,outputs/phase8/run_config.json,count(candidate_weights),CANONICAL,YES,9;20,
BOOTSTRAP_RESAMPLES,Building-level bootstrap resamples,10000,resamples,8 fixed buildings resampled by building,ALL_8_FIXED,Test,DOEF minus LightGBM,paired building bootstrap,9.1,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.resamples,CANONICAL,YES,21,
BOOTSTRAP_POINT_ESTIMATE,DOEF minus LightGBM normalized regret point estimate,-0.0041976002058672825,normalized regret difference,8 fixed buildings resampled by building,ALL_8_FIXED,Test,DOEF minus LightGBM,paired building bootstrap,9.1,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.point_estimate,CANONICAL,YES,21,
BOOTSTRAP_CI95_LOWER,Building-level bootstrap 95% lower bound,-0.0068502135531734835,normalized regret difference,8 fixed buildings resampled by building,ALL_8_FIXED,Test,DOEF minus LightGBM,paired building bootstrap,9.1,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.ci95_lower,CANONICAL,YES,21,
